trial,value,max_depth,learning_rate,subsample,colsample_bytree,lambda,alpha,n_estimators
0,0.19863643105663553,7,0.023018913705780145,0.7065210441894693,0.6612002471035954,0.026774397698313718,0.016420344013233105,971
1,0.3034891752230659,8,0.014740977392496912,0.6612081096892781,0.6287738468928368,1.1912694353321547,1.0936443502250885,870
2,0.1919681346198095,20,0.7762814168601843,0.8301803839033619,0.9016622614056874,2.822279810168029,0.003403239993621351,314
3,0.19288404535253129,17,0.2996802719261701,0.9120363908407165,0.9850075013335526,0.11754033526143226,0.046143477677153065,859
4,0.19546066144635663,19,0.09654065357968655,0.9122637302518266,0.9982673686677358,0.011661594845233273,0.0019427051416186947,775
5,0.20447636533442,9,0.6620336022787875,0.7034010561220184,0.7736530595324095,0.011249139651146118,0.0027299935076466136,744
6,0.23879011780008108,4,0.3494838919927113,0.9766464102704387,0.6220399896464831,0.007922292791327076,0.38415746214385715,493
7,0.20047784810020158,12,0.5654454096796833,0.8296509478998989,0.8639391510231997,0.08466632013628754,0.00511891704701408,31
8,0.1969686026321666,7,0.07399783169419523,0.9510632401073529,0.9698348436329718,0.07149193726202199,0.02994229260145463,630
9,0.2181551078558627,3,0.0509806298677413,0.7678616790991992,0.6479829968472988,0.017594876220438198,0.12140920044796083,430
10,0.47030705632277386,15,0.21279874960901424,0.8230319875150208,0.8790227495963652,7.85317973035484,7.304461103743505,222
11,0.19039382893477924,20,0.2242299843586264,0.8836522071053186,0.9137550728184276,0.0011989677185424632,0.029260811555811988,308
12,0.19351915051976476,20,0.19975746935142036,0.8449886019815637,0.9001932645427275,0.002512974188929045,0.009766474362836522,298
13,0.1959718361955063,15,0.8336187532127648,0.8960246512317176,0.7956600465872401,0.7433311537348217,0.001177691778915924,179
14,0.20959123032952168,17,0.17210432461000688,0.7613346794312027,0.9112743506083302,8.90003585906731,0.1187665758761321,358
15,0.19629092222243266,13,0.9941273739803653,0.8719333783763422,0.7436720890898502,0.00157497890179713,0.008888610544628799,48
16,0.1970733664688437,20,0.37584124832022087,0.7615430953622423,0.833536538206753,0.6378638616876281,0.04473508662523138,614
17,0.2691962301184826,17,0.04594785645035426,0.991506202069208,0.9366497704270936,2.589636585974554,0.35793211372624256,191
18,0.1988139667254562,14,0.13879776247770428,0.6228073894985051,0.8412012218196456,0.2605193411146108,0.003977854659443655,364
19,0.19667106600430348,18,0.4686276386116248,0.7866093063677535,0.9434737196342355,0.003093547061751594,0.018522873109800345,563
20,0.19314056606773986,16,0.29605025792078776,0.8663358615983768,0.716510402617968,2.6301311903208124,0.001011048958866954,279
21,0.1973452603611406,20,0.3081799151725016,0.9293408313351719,0.9754751633341495,0.21195610335735748,0.07311963929317428,454
22,0.20613888278040116,18,0.6300126545637809,0.8986633187616674,0.9182713790071796,0.039599999814685705,0.2010380634929902,114
23,0.19705844535542738,18,0.24932300501263968,0.9408504625764759,0.9997774283274788,0.0052896899818913766,0.042247067201981486,376
24,0.2633030783193603,20,0.4761582745632334,0.8703705142124242,0.9542086023573951,0.24345485460533797,1.1601933911746591,986
25,0.19420759744788976,10,0.15574130953192206,0.8024502353979119,0.8793653778247219,2.126017281279387,0.00720854699204897,728
26,0.19461753404113433,16,0.13400161299260632,0.9595582120052453,0.8359871643283118,0.13930782874086908,0.012511465426737877,571
27,0.1918442861547794,18,0.09767627306789403,0.8508699276445663,0.909868402345505,0.0011702966969911828,0.02557289381236764,265
28,0.19025753188502822,19,0.0713196077402456,0.7220923659686027,0.8103999962708034,0.0011540772610082453,0.02631566251440118,282
29,0.19167544272423925,12,0.044086254824424104,0.7340522434042769,0.7266793376188244,0.0011663732988495075,0.019070041392987475,250
30,0.23913689456221027,5,0.029824364716469785,0.7064372884367107,0.7282451446230204,0.001018479721522289,0.016272116873284028,122
31,0.18993984784349466,11,0.06401925630815863,0.7246955788747452,0.6884574594175242,0.001055401456732507,0.017599914480520184,262
32,0.19944896989165922,11,0.0589242456758339,0.7361662804434403,0.7033315640187614,0.002592612765404117,0.06823636052756146,131
33,0.19975864940758634,7,0.027770667856263444,0.654793993844566,0.6822948648999159,0.004153905049688277,0.022078279532582297,234
34,0.19697105860281874,12,0.016344934056308325,0.6712719423693325,0.7579847231765096,0.0020830195510302654,0.007479698833529017,407
35,0.192306509348228,10,0.04053823834179981,0.7314825817781797,0.6623597210130762,0.005546833326856219,0.03135487775362127,336
36,0.20436790935278953,8,0.07833830515306088,0.6795692694821662,0.7992518206284918,0.0016901619002134215,0.06962632517710478,179
37,0.19185140888904895,13,0.03435171321027897,0.7188337776057161,0.6927144220095239,0.0010165326874453514,0.014465431975596401,305
38,0.19561096600941905,6,0.020380381389684135,0.6908367906166547,0.6009579787014522,0.008969613042096203,0.0021353079428477794,500
39,0.2447521081046829,10,0.07782516120204738,0.6515261869411912,0.773613558567118,0.02206490463527224,0.19444434369097535,85
40,0.21465358067899673,2,0.1178431976518639,0.7477278998461285,0.6756134269861264,0.003355667216853356,0.0047404577260629225,246
41,0.18970916237062582,19,0.10213757528426957,0.796975991106705,0.8113848676872867,0.0013065624557384186,0.026308367233234795,274
42,0.19213895840591394,19,0.06378144711264884,0.8041520167741242,0.8059502065077656,0.0015752624578881844,0.03345781395970863,200
43,0.19230557314578794,19,0.10859725697577001,0.7814333657629421,0.8206927358679641,0.005577095959757283,0.013105715327549101,317
44,0.19768947903164844,16,0.053606842338908715,0.7238466067294687,0.641464173249725,0.0017452749261207471,0.06022509911750576,411
45,0.19639514717106396,19,0.08803801149547952,0.7464579150318048,0.7776577672416792,0.002581435337410915,0.02355683100000792,463
46,0.19640500839783703,14,0.042331991910692694,0.8151213341787449,0.8665158298477132,0.012860564086282347,0.005964102244696489,912
47,0.20558385297742982,9,0.06314081188383375,0.7799124846573205,0.7436994844051794,0.0013271889384874251,0.10149505184022596,142
48,0.5085833351027882,17,0.19078609494839643,0.705754076549965,0.7213589415090648,0.004059263002133106,8.905281103411792,266
49,0.1958350158926616,12,0.023156017596890996,0.7553869357176205,0.779719234574744,0.03840547624041008,0.040449968676979274,384
